descricao_alimento,kcal,carboidrato_g,proteina_g,lipideos_g,fibra_alimentar_g,base_por,fonte
"Banana, ouro, crua",112.0,29.3,1.5,0.2,2.0,100g,TACO
"Banana, pacova, crua",78.0,20.3,1.2,0.1,2.0,100g,TACO
"Banana, prata, crua",98.0,26.0,1.3,0.1,2.0,100g,TACO
"Cacau, cru",74.0,19.4,1.0,0.1,2.2,100g,TACO
"Cajá-Manga, cru",46.0,11.4,1.3,,2.6,100g,TACO
"Cajá, polpa, congelada",26.0,6.4,0.6,0.2,1.4,100g,TACO
"Caju, cru",43.0,10.3,1.0,0.3,1.7,100g,TACO
"Caju, polpa, congelada",37.0,9.4,0.5,0.2,0.8,100g,TACO
"Caju, suco concentrado, envasado",45.0,10.7,0.4,0.2,0.6,100g,TACO
"Caqui, chocolate, cru",71.0,19.3,0.4,0.1,6.5,100g,TACO
"Carambola, crua",46.0,11.5,0.9,0.2,2.0,100g,TACO
"Ciriguela, crua",76.0,18.9,1.4,0.4,3.9,100g,TACO
"Cupuaçu, cru",49.0,10.4,1.2,1.0,3.1,100g,TACO
"Cupuaçu, polpa, congelada",49.0,11.4,0.8,0.6,1.6,100g,TACO
"Figo, cru",41.0,10.2,1.0,0.2,1.8,100g,TACO
"Figo, enlatado, em calda",184.0,50.3,0.6,0.2,2.0,100g,TACO
"Fruta-pão, crua",67.0,17.2,1.1,0.2,5.5,100g,TACO
"Goiaba, branca, com casca, crua",52.0,12.4,0.9,0.5,6.3,100g,TACO
"Goiaba, doce em pasta",269.0,74.1,0.6,0.0,3.7,100g,TACO
"Goiaba, doce, cascão",286.0,78.7,0.4,0.1,4.4,100g,TACO
"Goiaba, vermelha, com casca, crua",54.0,13.0,1.1,0.4,6.2,100g,TACO
"Graviola, crua",62.0,15.8,0.8,0.2,1.9,100g,TACO
"Graviola, polpa, congelada",38.0,9.8,0.6,0.1,1.2,100g,TACO
"Jabuticaba, crua",58.0,15.3,0.6,0.1,2.3,100g,TACO
"Jaca, crua",88.0,22.5,1.4,0.3,2.4,100g,TACO
"Jambo, cru",27.0,6.5,0.9,0.1,5.1,100g,TACO
"Jamelão, cru",41.0,10.6,0.5,0.1,1.8,100g,TACO
"Kiwi, cru",51.0,11.5,1.3,0.6,2.7,100g,TACO
"Laranja, baía, crua",45.0,11.5,1.0,0.1,1.1,100g,TACO
"Laranja, baía, suco",37.0,8.7,0.7,,,100g,TACO
"Laranja, da terra, crua",51.0,12.9,1.1,0.2,4.0,100g,TACO
"Laranja, da terra, suco",41.0,9.6,0.7,0.1,1.0,100g,TACO
"Laranja, lima, crua",46.0,11.5,1.1,0.1,1.8,100g,TACO
"Laranja, lima, suco",39.0,9.2,0.7,0.1,0.4,100g,TACO
"Laranja, pêra, crua",37.0,8.9,1.0,0.1,0.8,100g,TACO
"Laranja, pêra, suco",33.0,7.6,0.7,0.1,,100g,TACO
"Laranja, valência, crua",46.0,11.7,0.8,0.2,1.7,100g,TACO
"Laranja, valência, suco",36.0,8.6,0.5,0.1,0.4,100g,TACO
"Limão, cravo, suco",14.0,5.2,0.3,,,100g,TACO
"Limão, galego, suco",22.0,7.3,0.6,0.1,,100g,TACO
"Limão, tahiti, cru",32.0,11.1,0.9,0.1,1.2,100g,TACO
"Maçã, Argentina, com casca, crua",63.0,16.6,0.2,0.2,2.0,100g,TACO
"Maçã, Fuji, com casca, crua",56.0,15.2,0.3,,1.3,100g,TACO
"Macaúba, crua",404.0,13.9,2.1,40.7,13.4,100g,TACO
"Mamão, doce em calda, drenado",196.0,54.0,0.2,0.1,1.3,100g,TACO
"Mamão, Formosa, cru",45.0,11.6,0.8,0.1,1.8,100g,TACO
"Mamão, Papaia, cru",40.0,10.4,0.5,0.1,1.0,100g,TACO
"Mamão verde, doce em calda, drenado",209.0,57.6,0.3,0.1,1.2,100g,TACO
"Manga, Haden, crua",64.0,16.7,0.4,0.3,1.6,100g,TACO
"Manga, Palmer, crua",72.0,19.4,0.4,0.2,1.6,100g,TACO
"Manga, polpa, congelada",48.0,12.5,0.4,0.2,1.1,100g,TACO
"Manga, Tommy Atkins, crua",51.0,12.8,0.9,0.2,2.1,100g,TACO
"Maracujá, cru",68.0,12.3,2.0,2.1,1.1,100g,TACO
"Maracujá, polpa, congelada",39.0,9.6,0.8,0.2,0.5,100g,TACO
"Maracujá, suco concentrado, envasado",42.0,9.6,0.8,0.2,0.4,100g,TACO
"Melancia, crua",33.0,8.1,0.9,,0.1,100g,TACO
"Melão, cru",29.0,7.5,0.7,,0.3,100g,TACO
"Mexerica, Murcote, crua",58.0,14.9,0.9,0.1,3.1,100g,TACO
"Mexerica, Rio, crua",37.0,9.3,0.7,0.1,2.7,100g,TACO
"Morango, cru",30.0,6.8,0.9,0.3,1.7,100g,TACO
"Nêspera, crua",43.0,11.5,0.3,,3.0,100g,TACO
"Pequi, cru",205.0,13.0,2.3,18.0,19.0,100g,TACO
"Pêra, Park, crua",61.0,16.1,0.2,0.2,3.0,100g,TACO
"Pêra, Williams, crua",53.0,14.0,0.6,0.1,3.0,100g,TACO
"Pêssego, Aurora, cru",36.0,9.3,0.8,,1.4,100g,TACO
"Pêssego, enlatado, em calda",63.0,16.9,0.7,,1.0,100g,TACO
"Pinha, crua",88.0,22.4,1.5,0.3,3.4,100g,TACO
"Pitanga, crua",41.0,10.2,0.9,0.2,3.2,100g,TACO
"Pitanga, polpa, congelada",19.0,4.8,0.3,0.1,0.7,100g,TACO
"Romã, crua",56.0,15.1,0.4,,0.4,100g,TACO
"Tamarindo, cru",276.0,72.5,3.2,0.5,6.4,100g,TACO
"Tangerina, Poncã, crua",38.0,9.6,0.8,0.1,0.9,100g,TACO
"Tangerina, Poncã, suco",36.0,8.8,0.5,,,100g,TACO
"Tucumã, cru",262.0,26.5,2.1,19.1,12.7,100g,TACO
"Umbu, cru",37.0,9.4,0.8,,2.0,100g,TACO
"Umbu, polpa, congelada",34.0,8.8,0.5,0.1,1.3,100g,TACO
"Uva, Itália, crua",53.0,13.6,0.7,0.2,0.9,100g,TACO
"Uva, Rubi, crua",49.0,12.7,0.6,0.2,0.9,100g,TACO
"Uva, suco concentrado, envasado 85, 1 58",58.0,14.7,,,0.2,100g,TACO
"Azeite, de dendê",884.0,,,100.0,,100g,TACO
"Azeite, de",884.0,,,100.0,,100g,TACO
"Manteiga, com sal",726.0,0.1,0.4,82.4,,100g,TACO
"Manteiga, sem sal",758.0,0.0,0.4,86.0,,100g,TACO
"Margarina, com óleo hidrogenado, com sal (65% de lipídeos)",596.0,0.0,,67.4,,100g,TACO
"Margarina, com óleo hidrogenado, sem sal (80% de lipídeos)",723.0,0.0,,81.7,,100g,TACO
"Margarina, com óleo interesterificado, com sal (65%de lipídeos)",594.0,0.0,,67.2,,100g,TACO
"Margarina, com óleo interesterificado, sem sal (65% de lipídeos)",593.0,0.0,,67.1,,100g,TACO
"Óleo, de ba baçu",884.0,,,100.0,,100g,TACO
"Óleo, de ca nola",884.0,,,100.0,,100g,TACO
"Óleo, de gi rassol",884.0,,,100.0,,100g,TACO
"Óleo, de m ilho",884.0,,,100.0,,100g,TACO
"Óleo, de pe qui",884.0,,,100.0,,100g,TACO
"Óleo, de soja NA",884.0,,,100.0,,100g,TACO
"Abadejo, filé, congelado, assado",112.0,0.0,23.5,1.2,,100g,TACO
"Abadejo, filé, congelado, cozido",91.0,0.0,19.3,0.9,,100g,TACO
"Abadejo, filé, congelado, cru",59.0,0.0,13.1,0.4,,100g,TACO
"Abadejo, filé, congelado, grelhado",130.0,0.0,27.6,1.3,,100g,TACO
"Atum, conserva em óleo",166.0,0.0,26.2,6.0,,100g,TACO
"Atum, fresco, cru",118.0,0.0,25.7,0.9,,100g,TACO
"Bacalhau, salgado, cru",136.0,0.0,29.0,1.3,,100g,TACO
"Bacalhau, salgado, refogado",140.0,1.2,24.0,3.6,,100g,TACO
"Cação, posta, com farinha de trigo, frita",208.0,3.1,25.0,10.0,0.5,100g,TACO
"Cação, posta, cozida",116.0,0.0,25.6,0.7,,100g,TACO
"Cação, posta, crua",83.0,0.0,17.9,0.8,,100g,TACO
"Camarão, Rio Grande, grande, cozido",90.0,0.0,19.0,1.0,,100g,TACO
"Camarão, Rio Grande, grande, cru",47.0,0.0,10.0,0.5,,100g,TACO
"Camarão, Sete Barbas, sem cabeça, com casca, frito",231.0,2.9,18.4,15.6,,100g,TACO
"Caranguejo, cozido",83.0,0.0,18.5,0.4,,100g,TACO
"Corimba, cru",128.0,0.0,17.4,6.0,,100g,TACO
"Corimbatá, assado",261.0,0.0,19.9,19.6,,100g,TACO
"Corimbatá, cozido",239.0,0.0,20.1,16.9,,100g,TACO
"Corvina de água doce, crua",101.0,0.0,18.9,2.2,,100g,TACO
"Corvina do mar, crua",94.0,0.0,18.6,1.6,,100g,TACO
"Corvina grande, assada",147.0,0.0,26.8,3.6,,100g,TACO
"Corvina grande, cozida",100.0,0.0,23.4,2.6,,100g,TACO
"Dourada de água doce, fresca",131.0,0.0,18.8,5.6,,100g,TACO
"Lambari, congelado, cru",131.0,0.0,16.8,6.5,,100g,TACO
"Lambari, congelado, frito",327.0,0.0,28.4,22.8,,100g,TACO
"Lambari, fresco, cru",152.0,0.0,15.7,9.4,,100g,TACO
"Manjuba, com farinha de trigo, frita",344.0,10.2,23.5,22.6,0.4,100g,TACO
"Manjuba, frita",349.0,0.0,30.1,24.5,,100g,TACO
"Merluza, filé, assado",122.0,0.0,26.6,0.9,,100g,TACO
"Merluza, filé, cru",89.0,0.0,16.6,2.0,,100g,TACO
"Merluza, filé, frito",192.0,0.0,26.9,8.5,,100g,TACO
"Pescada, branca, crua",111.0,0.0,16.3,4.6,,100g,TACO
"Pescada, branca, frita",223.0,0.0,27.4,11.8,,100g,TACO
